id	RsmmID	Titel	Serie	Länge	Sendezeit	Titel_Sprache	Beschreibung_Sprache	Block	MO	DI	MI	DO	FR	SA	SO	Bild
93	43217	FGE Rückmeldungen 06	FGE	00:20:00	20.07.2026 19:43:00	Nosotros leemos, y tú, ¿nos escuchas? Sentir, vivir lo que otros dicen. Jóvenes en el camino hacia Cristo (06)	Nosotros leemos, y tú, ¿nos escuchas? Sentir, vivir lo que otros dicen. Jóvenes en el camino hacia Cristo (06)		False	False	False	False	False	False	False	ES_RueckmeldungenJugend.jpg
98	42337	Gemeinschaften 12	FGE	00:14:00	20.07.2026 20:08:30	Las colectividades libres bajo el signo del Lirio 12: La vida es evolución	Las colectividades libres bajo el signo del Lirio 12: La vida es evolución		False	False	False	False	False	False	False	ES_Gemeinschaften12.jpg
103	41749	FGE VS Les 03 BroschEwGesetz	FGE	00:06:00	20.07.2026 20:27:00	Somos las colectividades libres - Une y sé (3) 	El cristianismo originario en todo el mundo. Las colectividades libres bajo el signo del Lirio		False	False	False	False	False	False	False	ES_FGE_VerbindeUndSei.jpg
106	33460	LernenHineinzufühlen	MED	00:28:00	20.07.2026 20:38:00	Oración meditativa: Aprendamos a sentir dentro de nuestro prójimo	Oración meditativa: Aprendamos a sentir dentro de nuestro prójimo		False	False	False	False	False	False	False	LernenHineinfühlen.jpg
111	02316	Perlen in uns	MED	00:46:00	20.07.2026 21:10:30	Meditación: Las perlas en nosotros. El Reino de Dios, nuestro Hogar eterno	Meditación: Las perlas en nosotros. El Reino de Dios, nuestro Hogar eterno		False	False	False	False	False	False	False	PerlenInUns.jpg
114	28864	InnereAndacht 07	MED	01:00:00	20.07.2026 22:06:30	Recogimiento Interno. Parte 7: Grabación original de la serie «Las grandes enseñanzas cósmicas» 	Recogimiento Interno. Parte 7: Grabación original de la serie «Las grandes enseñanzas cósmicas» 		False	False	False	False	False	False	False	InnereAndacht_ES_Neu.jpg
117	44378	Nachruhm	LES	00:24:30	20.07.2026 23:12:30	Una lectura: "Gloria póstuma" de Manfred Kyber	Una lectura: "Gloria póstuma" de Manfred Kyber		False	False	False	False	False	False	False	ES_Nachrruhm2.jpg
119	37874	Urgesteinsmehl	DOK	00:15:30	20.07.2026 23:40:00	Una nueva agricultura para el nuevo tiempo	Hoy con el tema:  Harina de roca - alimento para nuestros campos		False	False	False	False	False	False	False	ES_UrgesteinMehl.jpg
122	47972	GemeindeFels Juli2026	SON	01:20:00	21.07.2026 00:01:00	Reunión en el espíritu cristiano originario en la fuente de la Roca de Cristo, en julio de 2026, del año 3 de la Era mesiánica, sofiánica	Reunión en el espíritu cristiano originario en la fuente de la Roca de Cristo, en julio de 2026, del año 3 de la Era mesiánica, sofiánica		False	False	False	False	False	False	False	GemeindeFelsJul2.jpg
124	33989	WerWarJesus 01	LES	00:24:30	21.07.2026 01:24:00	¿Quién fue Jesús de Nazaret? Parte 1	¿Quién fue Jesús de Nazaret? Parte 1		False	False	False	False	False	False	False	JesusStatue.jpg
129	36394	SpürtHineinLeben	MED	00:18:00	21.07.2026 01:56:00	Oración meditativa: Sentid dentro de la vida	Oración meditativa de Gabriele: Sentid dentro de la vida		False	False	False	False	False	False	False	MedSpuertHinein.jpg
134	33646	JugendProphet 02	LES	00:22:00	21.07.2026 02:20:00	El joven y el profeta. 2ª parte	El joven y el profeta. 2ª parte		False	False	False	False	False	False	False	JugendProphet_bearb.jpg
136	28154	InnererWeg 19	GR-IW	00:29:00	21.07.2026 02:42:30	El Camino interno hacia la Consciencia cósmica. Peldaño del Orden. Programa 19	El Camino interno hacia la Consciencia cósmica. Peldaño del Orden. Programa 19		False	False	False	False	False	False	False	IW_ES.jpg
139	33884	Bergpredigt 03	LES	00:27:00	21.07.2026 03:16:00	El Sermón de la Montaña de Jesús de Nazaret. Parte 3	El Sermón de la Montaña de Jesús de Nazaret. Parte 3		False	False	False	False	False	False	False	Berg_ES-00.jpg
142	33885	Bergpredigt 04	LES	00:25:00	21.07.2026 03:48:00	El Sermón de la Montaña de Jesús de Nazaret. Parte 4	El Sermón de la Montaña de Jesús de Nazaret. Parte 4		False	False	False	False	False	False	False	Berg_ES-00.jpg
147	47972	GemeindeFels Juli2026	SON	01:20:00	21.07.2026 04:17:30	Reunión en el espíritu cristiano originario en la fuente de la Roca de Cristo, en julio de 2026, del año 3 de la Era mesiánica, sofiánica	Reunión en el espíritu cristiano originario en la fuente de la Roca de Cristo, en julio de 2026, del año 3 de la Era mesiánica, sofiánica		False	False	False	False	False	False	False	GemeindeFelsJul2.jpg
153	27219	RufGabriele 6 DerRuf	SON	00:13:00	21.07.2026 05:46:30	La llamada de Gabriele (6): La llamada del Cristo de Dios. Dada por Gabriele, la profeta y enviada de Dios	La llamada de Gabriele (6): La llamada del Cristo de Dios. Dada por Gabriele, la profeta y enviada de Dios		False	False	False	False	False	False	False	Ruf-6.jpg
155	24035	DasIstMeinWort 18	LES	00:23:00	21.07.2026 06:01:00	Esta es Mi Palabra, Alfa y Omega. Capítulo 47: El correcto entendimiento de los Mandamientos	Esta es Mi Palabra, Alfa y Omega. Capítulo 47: El correcto entendimiento de los Mandamientos		False	False	False	False	False	False	False	DIMW_ES-00B.jpg
